comuna,link,n_habitaciones,n_baños,n_estacionamientos,total_superficie_m2,superficie_construida_m2,valor_uf,direccion,quien_vende,corredor
Calera de Tango,https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/queilen/3000455,5,6,3,5000.0,440.0,12.2,"Calera de Tango, Queilen",Gabriela Mellado V.,Zenpro Propiedades
Calera de Tango,https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/queilen/2246315,6,6,6,5000.0,430.0,13.0,"Calera de Tango, Queilen",Gabriela Mellado V.,Zenpro Propiedades
Calera de Tango,https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/avenida-calera-de-tango-condominiosanta-teresa-de-tango-el-barrancon/3429380,3,3,0,2027.0,140.0,10.3,"Calera de Tango, Avenida calera de tango   condominio/santa teresa de tango - el barrancon",Alonso Baeza Rivera y Cía. Ltda. (Kennedy),Alonso Baeza Rivera y Cía. Ltda. (Kennedy)
Calera de Tango,https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/paradero-14-125-kilometros-cruce-calera-de-tango/3384071,8,6,0,5000.0,480.0,21.5,"Calera de Tango, Paradero 14 1/2/5 kilometros cruce calera de tango",RED Gestión Propiedades,Red Gestión Propiedades
Calera de Tango,https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/condominio-el-trebol-de-calera-de-tango/3639010,3,2,3,5000.0,196.0,9.1,"Calera de Tango, Condominio El Trébol de Calera de Tango",Gabriela Mellado V.,Zenpro Propiedades
Calera de Tango,https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/lonquen-surcalera-de-tango/3557811,3,2,0,5000.0,170.0,11.8,"Calera de Tango, Lonquen Sur/Calera de Tango",Mauricio Pino Propiedades,Mauricio Pino Propiedades
Calera de Tango,https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/graciela-letelier-de-ibanez-n-29-camino-lonquen-a-7-km-de-mall-plaza-oeste/3716413,3,2,4,2600.0,140.0,9.85,"Calera de Tango, Graciela Letelier de Ibañez N 29, camino lonquen. A 7 km de mall plaza oeste",María Teresa Olea González,Vende Dueño/a
Calera de Tango,https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/camino-loretocondominio-santa-cruz-de-loreto/2898688,5,4,0,5000.0,650.0,14.45,"Calera de Tango, Camino loreto/condominio santa cruz de loreto",Pro Partners Propiedades,Pro Partners Propiedades
Calera de Tango,https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/lonquencalera-de-tango/2897936,5,3,0,5000.0,404.0,16.5,"Calera de Tango, Lonquen/Calera de tango",Mauricio Pino Propiedades,Mauricio Pino Propiedades
Calera de Tango,https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/condominio-los-almendros-suravda-calera-de-tango-cv/2832877,6,4,0,5015.0,440.0,16.65,"Calera de Tango, Condominio Los Almendros Sur/Avda Calera de Tango CV",Cristian Vial Propiedades,Cristian Vial Propiedades
Calera de Tango,https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/condominio-la-virgenfrente-a-restaurante-kugenhouse/3372229,7,5,0,5000.0,300.0,15.0,"Calera de Tango, Condominio la virgen/frente a restaurante kugenhouse",RED Gestión Propiedades,Red Gestión Propiedades
Calera de Tango,https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/graciela-letelier/3604262,6,5,2,5000.0,250.0,25.0,"Calera de Tango, Graciela Letelier",Johanna Rojas Gestion Inmobiliaria,Johanna Rojas
